city,aqi,pm2.5,pm10,co,no2,o3,03/8h
阿坝州,40,2,17,0.4,9,100,79,6
阿克苏地区,130,63,208,0.95,28,73,36,14
阿拉善盟,56,32,60,0.5,9,90,86,8
阿勒泰地区,39,22,38,0.75,45,52,58,50
阿里地区,61,16,70,0.5,3,79,46,2
安康,64,45,71,0.93,42,68,48,14
安庆,45,23,42,0.45,27,104,88,5
鞍山,54,16,55,1.03,22,46,51,15
安顺,56,39,52,0.57,18,88,78,29
安阳,36,12,26,0.6,18,80,71,15
白城,35,12,22,0.75,23,61,68,13
百色,54,37,51,1.2,18,64,49,10
白山,39,26,38,0.6,11,58,58,20
白银,62,39,71,1.1,36,69,55,27
保定,49,24,48,0.53,31,62,65,11
宝鸡,79,50,105,0.97,44,82,62,18
保山,35,4,17,0.55,4,91,68,8
包头,66,39,80,0.8,14,81,51,8
巴彦淖尔,45,10,44,0.4,15,76,73,5
巴中,74,53,68,0.48,24,89,65,5
北海,53,36,54,1.08,21,67,58,10
北京,34,4,29,0.24,7,70,67,2
蚌埠,57,34,61,0.67,38,66,62,19
本溪,49,28,48,0.58,25,35,40,23
毕节,71,51,84,0.95,26,123,78,18
滨州,31,6,27,0.37,13,63,60,5
博州,113,84,158,1.95,36,36,27,69
亳州,51,16,50,0.4,27,68,71,13
沧州,38,22,37,0.43,15,66,66,19
长春,38,26,25,0.58,30,44,51,17
常德,85,62,0,0.98,20,99,60,11
昌都,34,12,29,1.2,14,76,67,4
昌都地区,29,6,12,0.7,11,86,57,8
昌吉州,225,174,230,1.9,42,49,48,27
长沙,61,43,61,0.75,51,63,40,13
常熟,65,34,77,0.5,43,58,54,31
长治,54,16,56,0.58,22,75,79,28
常州,52,26,51,1.03,42,44,41,15
朝阳,69,12,86,0.57,14,55,58,35
潮州,41,15,27,0.7,17,75,80,8
承德,31,12,26,0.4,5,61,60,7
成都,82,60,97,0.71,36,106,69,11
郴州,57,32,61,0.68,28,73,55,15
赤峰,33,8,32,0.5,9,50,49,9
池州,47,19,44,0.33,21,94,92,11
重庆,64,44,76,0.74,57,75,51,12
崇左,36,23,35,1.0,18,67,62,7
楚雄州,58,34,64,1.1,34,19,29,15
滁州,53,26,53,0.43,26,75,71,14
大连,52,12,52,0.66,16,49,53,15
大理州,34,7,15,0.5,10,73,66,3
丹东,47,20,46,0.53,17,47,52,14
大庆,34,15,29,0.54,17,66,67,23
大同,31,5,27,0.72,11,70,60,14
大兴安岭地,0,0,0,0.0,0,0,0,0
大兴安岭地区,41,19,21,0.75,17,74,80,27
达州,89,66,107,1.38,56,54,53,21
德宏州,65,46,33,0.45,17,90,48,18
德阳,101,73,150,0.8,60,92,48,15
德州,39,9,38,0.73,20,65,59,7
定西,60,42,51,0.6,25,87,57,28
迪庆州,42,5,22,0.4,5,88,82,12
东莞,37,23,30,0.65,30,70,72,8
东营,38,11,37,0.4,14,59,64,15
鄂尔多斯,42,5,34,0.54,12,85,83,7
恩施州,77,56,76,0.9,26,87,41,9
鄂州,59,38,65,0.93,44,65,58,12
防城港,55,28,58,0.63,25,66,76,9
佛山,50,22,49,0.44,35,56,58,10
抚顺,46,32,43,0.52,21,50,51,13
阜新,46,12,45,0.36,8,63,62,36
阜阳,63,44,67,0.63,33,94,83,14
富阳,55,12,40,0.4,18,92,104,10
福州,43,16,32,0.4,17,89,85,7
抚州,46,29,45,0.52,17,89,69,12
甘南州,38,18,18,0.2,16,98,74,57
赣州,42,25,41,1.38,15,101,78,6
甘孜藏族自治州,51,19,50,0.4,9,47,41,5
甘孜州,44,4,43,0.45,7,83,73,13
广安,72,44,92,0.58,26,112,77,12
广元,48,13,47,0.57,25,87,46,13
广州,44,19,43,0.61,45,59,64,10
贵港,55,32,57,0.5,23,73,72,12
桂林,44,21,35,0.5,13,94,87,9
贵阳,59,37,65,0.59,21,84,70,18
果洛州,52,0,0,0.0,13,0,101,24
固原,52,14,52,0.27,12,94,85,8
哈尔滨,32,22,30,0.73,31,62,58,25
海北州,47,10,25,0.4,10,106,92,13
海东地区,30,9,18,0.6,18,95,58,10
海口,39,27,32,0.58,14,67,57,8
海门,57,20,61,0.57,22,60,60,12
海南州,38,6,22,0.3,8,0,74,8
海西州,111,83,0,0.7,22,129,88,20
哈密地区,63,44,67,1.3,15,66,44,8
邯郸,53,18,53,0.75,24,63,63,22
杭州,47,19,46,0.65,25,76,70,10
汉中,78,57,96,1.68,32,94,66,31
鹤壁,40,18,39,0.53,18,69,53,12
河池,55,24,58,0.53,27,78,67,8
合肥,54,24,55,0.61,26,87,77,11
鹤岗,31,13,23,0.48,8,62,61,14
黑河,40,19,26,0.63,10,76,79,7
衡水,56,21,59,0.57,15,66,68,7
衡阳,54,37,56,0.5,39,70,49,24
和田地区,149,53,245,1.75,15,76,50,14
河源,44,19,36,0.7,19,87,86,7
菏泽,46,10,45,1.23,21,86,73,10
贺州,42,23,40,0.5,12,85,82,8
红河州,25,9,19,0.77,9,49,49,7
淮安,67,24,82,0.68,27,54,55,12
淮北,45,29,44,0.4,30,71,64,16
怀化,78,57,99,0.88,21,85,61,11
淮南,58,35,63,0.52,27,77,71,19
黄冈,57,25,62,0.75,26,85,65,11
黄南州,32,6,17,1.2,16,76,62,20
黄山,44,11,43,0.23,11,79,74,9
黄石,56,33,59,0.96,34,78,57,9
呼和浩特,39,11,38,0.81,23,73,70,18
惠州,40,17,38,0.8,22,81,78,7
葫芦岛,49,10,48,1.0,18,57,59,19
呼伦贝尔,37,12,23,0.45,16,70,73,5
湖州,64,45,76,0.87,54,61,60,18
佳木斯,28,11,19,0.44,18,44,54,10
吉安,63,44,60,0.38,19,86,65,16
江门,56,25,60,0.73,52,34,42,10
